title,author,isbn,copies
Blood into Wine,Kristal Menghi,063024333-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9779,""status"":""Available""},{""copyNumber"":3763,""status"":""Available""},{""copyNumber"":8128,""status"":""Available""}]}]"
War and Peace (Voyna i mir),Luci Garmanson,666252477-8,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":6151,""status"":""Borrowed""},{""copyNumber"":7291,""status"":""Borrowed""},{""copyNumber"":3253,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7152,""status"":""Available""},{""copyNumber"":3669,""status"":""Borrowed""},{""copyNumber"":4056,""status"":""Available""},{""copyNumber"":3835,""status"":""Available""},{""copyNumber"":9314,""status"":""Borrowed""},{""copyNumber"":8089,""status"":""Borrowed""}]}]"
Divorcing Jack,Milzie Bitterton,361396454-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3322,""status"":""Available""},{""copyNumber"":6640,""status"":""Available""},{""copyNumber"":5429,""status"":""Available""},{""copyNumber"":5434,""status"":""Borrowed""},{""copyNumber"":3666,""status"":""Available""},{""copyNumber"":2867,""status"":""Available""}]}]"
J. Edgar,Margery Eddy,896608007-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2075,""status"":""Borrowed""},{""copyNumber"":1543,""status"":""Borrowed""},{""copyNumber"":1809,""status"":""Borrowed""},{""copyNumber"":2420,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8127,""status"":""Available""},{""copyNumber"":4340,""status"":""Available""},{""copyNumber"":7852,""status"":""Borrowed""},{""copyNumber"":6704,""status"":""Borrowed""},{""copyNumber"":6899,""status"":""Borrowed""},{""copyNumber"":3850,""status"":""Borrowed""}]}]"
Pride and Prejudice,Billie Fritschmann,249643836-2,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4112,""status"":""Available""},{""copyNumber"":6368,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8969,""status"":""Borrowed""},{""copyNumber"":2013,""status"":""Borrowed""},{""copyNumber"":7808,""status"":""Borrowed""},{""copyNumber"":2187,""status"":""Available""},{""copyNumber"":1690,""status"":""Available""}]}]"
Popeye,Hanan Sandercroft,338330074-9,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3105,""status"":""Borrowed""}]}]"
Marriage Italian Style (Matrimonio all'italiana),Melitta Lardnar,878891828-9,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5829,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9265,""status"":""Borrowed""},{""copyNumber"":9380,""status"":""Available""}]}]"
"Ciao, Professore! (Io speriamo che me la cavo)",Kort Jandourek,578443891-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5547,""status"":""Available""},{""copyNumber"":7245,""status"":""Borrowed""}]}]"
The Underneath,Nate Plumridege,272367204-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5030,""status"":""Borrowed""},{""copyNumber"":3372,""status"":""Available""},{""copyNumber"":2601,""status"":""Borrowed""},{""copyNumber"":3548,""status"":""Borrowed""},{""copyNumber"":8247,""status"":""Available""}]}]"
Return of the Secaucus 7,Barb Lythgoe,047897720-4,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":6680,""status"":""Available""},{""copyNumber"":8345,""status"":""Available""},{""copyNumber"":8534,""status"":""Borrowed""},{""copyNumber"":9993,""status"":""Available""}]}]"
"Pirates of Penzance, The",Durand Mochan,519519580-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4682,""status"":""Available""},{""copyNumber"":1942,""status"":""Borrowed""},{""copyNumber"":7150,""status"":""Available""},{""copyNumber"":3215,""status"":""Borrowed""},{""copyNumber"":1180,""status"":""Borrowed""}]}]"
Reach the Rock,Rollie Branno,197568507-5,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1539,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6682,""status"":""Available""},{""copyNumber"":1283,""status"":""Borrowed""},{""copyNumber"":5112,""status"":""Borrowed""},{""copyNumber"":7653,""status"":""Available""},{""copyNumber"":8644,""status"":""Available""},{""copyNumber"":4659,""status"":""Available""}]}]"
From Paris with Love,Eliot Jayme,950690713-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1542,""status"":""Available""},{""copyNumber"":7467,""status"":""Available""},{""copyNumber"":9654,""status"":""Borrowed""},{""copyNumber"":4908,""status"":""Borrowed""}]}]"
Central Station (Central do Brasil),Parsifal Hucks,409920680-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6369,""status"":""Borrowed""},{""copyNumber"":1611,""status"":""Available""},{""copyNumber"":9509,""status"":""Borrowed""},{""copyNumber"":6968,""status"":""Borrowed""},{""copyNumber"":3126,""status"":""Borrowed""},{""copyNumber"":4091,""status"":""Borrowed""}]}]"
Witless Protection,Vinni Thayre,795098925-4,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3667,""status"":""Borrowed""},{""copyNumber"":5643,""status"":""Available""},{""copyNumber"":2410,""status"":""Available""},{""copyNumber"":2213,""status"":""Available""}]}]"
Chopping Mall (a.k.a. Killbots),Devon Schurig,040515540-9,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9208,""status"":""Available""},{""copyNumber"":8218,""status"":""Available""},{""copyNumber"":4401,""status"":""Borrowed""},{""copyNumber"":4235,""status"":""Available""},{""copyNumber"":9591,""status"":""Available""}]}]"
"Private Eyes, The",Bette-ann Parfitt,023960359-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4159,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1919,""status"":""Available""},{""copyNumber"":9039,""status"":""Borrowed""}]}]"
Major Movie Star,Marcelia Brittles,394866896-5,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7722,""status"":""Available""},{""copyNumber"":4313,""status"":""Borrowed""},{""copyNumber"":1881,""status"":""Available""},{""copyNumber"":3502,""status"":""Borrowed""},{""copyNumber"":9908,""status"":""Borrowed""},{""copyNumber"":8675,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4352,""status"":""Borrowed""},{""copyNumber"":2651,""status"":""Borrowed""},{""copyNumber"":8279,""status"":""Borrowed""},{""copyNumber"":2734,""status"":""Available""}]}]"
9,Mozelle Seaborn,857390896-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1656,""status"":""Available""},{""copyNumber"":6054,""status"":""Borrowed""},{""copyNumber"":4755,""status"":""Available""}]}]"
Tai-Pan,Edwin Domniney,514356057-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3682,""status"":""Available""},{""copyNumber"":5271,""status"":""Borrowed""},{""copyNumber"":2484,""status"":""Borrowed""},{""copyNumber"":7014,""status"":""Borrowed""},{""copyNumber"":4505,""status"":""Borrowed""}]}]"
Under the Sand,Cosette Carme,450562413-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1306,""status"":""Borrowed""},{""copyNumber"":1353,""status"":""Available""},{""copyNumber"":1472,""status"":""Borrowed""},{""copyNumber"":7470,""status"":""Available""},{""copyNumber"":5214,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2509,""status"":""Available""},{""copyNumber"":8203,""status"":""Available""},{""copyNumber"":4391,""status"":""Borrowed""},{""copyNumber"":4825,""status"":""Available""},{""copyNumber"":1689,""status"":""Borrowed""}]}]"
Intimate Enemies (L'ennemi intime),Hildagard Gosnall,671818598-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8495,""status"":""Available""},{""copyNumber"":7631,""status"":""Borrowed""},{""copyNumber"":7718,""status"":""Borrowed""},{""copyNumber"":6238,""status"":""Available""},{""copyNumber"":3590,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8749,""status"":""Available""},{""copyNumber"":2666,""status"":""Available""},{""copyNumber"":1868,""status"":""Borrowed""},{""copyNumber"":9479,""status"":""Available""},{""copyNumber"":3855,""status"":""Available""}]}]"
Ed and His Dead Mother,Alix Gorhardt,001563610-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2350,""status"":""Borrowed""},{""copyNumber"":3573,""status"":""Borrowed""},{""copyNumber"":7921,""status"":""Available""},{""copyNumber"":3634,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1498,""status"":""Available""},{""copyNumber"":1802,""status"":""Available""},{""copyNumber"":3616,""status"":""Available""},{""copyNumber"":3563,""status"":""Borrowed""},{""copyNumber"":6896,""status"":""Borrowed""}]}]"
Portrait Werner Herzog,Cullan Armit,555521474-X,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":6219,""status"":""Available""},{""copyNumber"":9214,""status"":""Available""},{""copyNumber"":9938,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9536,""status"":""Available""}]}]"
Unforgiven,Travus Sahlstrom,845998145-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1955,""status"":""Borrowed""},{""copyNumber"":9746,""status"":""Borrowed""},{""copyNumber"":4753,""status"":""Available""},{""copyNumber"":5408,""status"":""Available""},{""copyNumber"":2706,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3326,""status"":""Borrowed""},{""copyNumber"":7545,""status"":""Available""},{""copyNumber"":2958,""status"":""Borrowed""},{""copyNumber"":3141,""status"":""Available""}]}]"
The Tomb,Stacy Beernaert,755977523-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9196,""status"":""Available""},{""copyNumber"":5922,""status"":""Available""},{""copyNumber"":2566,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4913,""status"":""Available""},{""copyNumber"":1358,""status"":""Available""}]}]"
"Cry in the Dark, A",Leah Jimson,130652768-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5001,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3586,""status"":""Borrowed""},{""copyNumber"":3380,""status"":""Available""}]}]"
Sex Lives of the Potato Men,Bamby Perulli,569707522-7,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5314,""status"":""Available""},{""copyNumber"":9191,""status"":""Borrowed""},{""copyNumber"":3966,""status"":""Borrowed""}]}]"
"Ramen Girl, The",Earle Soall,543826000-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9127,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8907,""status"":""Available""},{""copyNumber"":8772,""status"":""Borrowed""},{""copyNumber"":5569,""status"":""Available""},{""copyNumber"":6280,""status"":""Available""},{""copyNumber"":1483,""status"":""Borrowed""}]}]"
"City Below, The (Unter dir die Stadt)",Lianna Petracchi,832912136-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4033,""status"":""Available""},{""copyNumber"":4024,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7469,""status"":""Borrowed""},{""copyNumber"":4161,""status"":""Available""},{""copyNumber"":6535,""status"":""Borrowed""},{""copyNumber"":1959,""status"":""Available""},{""copyNumber"":5639,""status"":""Available""}]}]"
Eraser,Kathryn Mushett,282304105-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9819,""status"":""Borrowed""},{""copyNumber"":8425,""status"":""Available""},{""copyNumber"":9231,""status"":""Borrowed""}]}]"
Madame Curie,Thatch Ogelsby,366504701-3,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8889,""status"":""Borrowed""},{""copyNumber"":1021,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3970,""status"":""Borrowed""}]}]"
"Grand Seduction, The",Dilan Petrillo,111235371-2,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8117,""status"":""Borrowed""},{""copyNumber"":4733,""status"":""Available""},{""copyNumber"":5322,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9743,""status"":""Available""},{""copyNumber"":9887,""status"":""Available""},{""copyNumber"":1794,""status"":""Borrowed""},{""copyNumber"":1597,""status"":""Borrowed""},{""copyNumber"":7984,""status"":""Borrowed""}]}]"
These Amazing Shadows,Rani Garfield,693989903-0,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8291,""status"":""Available""},{""copyNumber"":9202,""status"":""Available""},{""copyNumber"":4620,""status"":""Available""},{""copyNumber"":7864,""status"":""Borrowed""},{""copyNumber"":5480,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4412,""status"":""Borrowed""},{""copyNumber"":1306,""status"":""Borrowed""},{""copyNumber"":5159,""status"":""Available""},{""copyNumber"":8616,""status"":""Available""},{""copyNumber"":1838,""status"":""Borrowed""},{""copyNumber"":1500,""status"":""Available""}]}]"
Breakfast at Tiffany's,Jacquie Gallie,671115864-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2897,""status"":""Borrowed""},{""copyNumber"":3510,""status"":""Available""},{""copyNumber"":9182,""status"":""Borrowed""},{""copyNumber"":8703,""status"":""Borrowed""},{""copyNumber"":1703,""status"":""Borrowed""},{""copyNumber"":5095,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3482,""status"":""Available""},{""copyNumber"":1415,""status"":""Available""},{""copyNumber"":3002,""status"":""Borrowed""},{""copyNumber"":8543,""status"":""Available""},{""copyNumber"":3156,""status"":""Borrowed""},{""copyNumber"":9961,""status"":""Available""}]}]"
Colossus: The Forbin Project,Edd O'Rudden,691875084-4,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9374,""status"":""Available""},{""copyNumber"":6690,""status"":""Available""},{""copyNumber"":4816,""status"":""Available""},{""copyNumber"":6337,""status"":""Borrowed""}]}]"
Symmetry (Symetria),Garik Fackney,494154673-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2552,""status"":""Available""},{""copyNumber"":4748,""status"":""Available""},{""copyNumber"":4067,""status"":""Available""},{""copyNumber"":9869,""status"":""Borrowed""},{""copyNumber"":3897,""status"":""Available""}]}]"
Bridget Jones's Diary,Karine Mathely,720525795-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5242,""status"":""Borrowed""},{""copyNumber"":4035,""status"":""Available""},{""copyNumber"":1903,""status"":""Available""},{""copyNumber"":7308,""status"":""Borrowed""},{""copyNumber"":1167,""status"":""Available""},{""copyNumber"":8382,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8917,""status"":""Available""},{""copyNumber"":6629,""status"":""Borrowed""},{""copyNumber"":8705,""status"":""Available""},{""copyNumber"":4714,""status"":""Borrowed""},{""copyNumber"":4313,""status"":""Borrowed""},{""copyNumber"":8591,""status"":""Available""}]}]"
"Chef in Love, A (Shekvarebuli kulinaris ataserti retsepti)",Fitzgerald Revitt,773603628-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8362,""status"":""Borrowed""},{""copyNumber"":2948,""status"":""Available""},{""copyNumber"":3069,""status"":""Available""}]}]"
Child's Pose,Leonid Cana,351895887-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3244,""status"":""Available""},{""copyNumber"":1840,""status"":""Available""},{""copyNumber"":8067,""status"":""Borrowed""},{""copyNumber"":5506,""status"":""Available""},{""copyNumber"":3728,""status"":""Borrowed""},{""copyNumber"":4694,""status"":""Borrowed""}]}]"
Godzilla vs. Megaguirus (Gojira tai Megagirasu: Jî shômetsu sakusen),Halimeda Roskams,727468349-7,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6801,""status"":""Borrowed""},{""copyNumber"":4100,""status"":""Available""},{""copyNumber"":6727,""status"":""Borrowed""},{""copyNumber"":4713,""status"":""Available""},{""copyNumber"":6204,""status"":""Available""}]}]"
Loaded Weapon 1 (National Lampoon's Loaded Weapon 1),Ralf Jentle,987082750-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4268,""status"":""Available""},{""copyNumber"":8383,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5997,""status"":""Borrowed""},{""copyNumber"":8630,""status"":""Borrowed""},{""copyNumber"":2130,""status"":""Borrowed""}]}]"
Space Pirate Captain Harlock: Arcadia of My Youth (Waga seishun no Arcadia),Brynne Maddrell,692337480-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6151,""status"":""Borrowed""},{""copyNumber"":9462,""status"":""Borrowed""},{""copyNumber"":6492,""status"":""Available""}]}]"
Taffin,Angel Trineman,044508832-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1444,""status"":""Available""},{""copyNumber"":3414,""status"":""Borrowed""},{""copyNumber"":7104,""status"":""Borrowed""},{""copyNumber"":6447,""status"":""Borrowed""}]}]"
Terri,Caroline Lansdale,975958337-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4598,""status"":""Borrowed""},{""copyNumber"":6594,""status"":""Available""},{""copyNumber"":2145,""status"":""Available""},{""copyNumber"":4278,""status"":""Borrowed""},{""copyNumber"":7846,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1642,""status"":""Borrowed""},{""copyNumber"":8421,""status"":""Borrowed""},{""copyNumber"":1612,""status"":""Borrowed""}]}]"
The Land Before Time VIII: The Big Freeze,Andrew Sherel,578398194-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3894,""status"":""Available""},{""copyNumber"":3156,""status"":""Available""},{""copyNumber"":3752,""status"":""Borrowed""},{""copyNumber"":1508,""status"":""Available""},{""copyNumber"":5258,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9564,""status"":""Borrowed""},{""copyNumber"":5384,""status"":""Available""}]}]"
Stay Hungry,Meagan Biasini,349431266-4,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8214,""status"":""Available""},{""copyNumber"":2781,""status"":""Available""},{""copyNumber"":8981,""status"":""Borrowed""},{""copyNumber"":5644,""status"":""Available""},{""copyNumber"":1201,""status"":""Borrowed""}]}]"
Wild in the Streets,Harlen Clementet,090675594-8,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9576,""status"":""Borrowed""},{""copyNumber"":6550,""status"":""Borrowed""},{""copyNumber"":4522,""status"":""Borrowed""},{""copyNumber"":4699,""status"":""Borrowed""},{""copyNumber"":1497,""status"":""Available""}]}]"
Cannonball,Euell Phipp,355901294-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6020,""status"":""Borrowed""},{""copyNumber"":5020,""status"":""Borrowed""},{""copyNumber"":1419,""status"":""Borrowed""},{""copyNumber"":4489,""status"":""Borrowed""}]}]"
Violeta Went to Heaven (Violeta se fue a los cielos),Genna Buncom,965756075-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4671,""status"":""Borrowed""},{""copyNumber"":5590,""status"":""Borrowed""}]}]"
"Rise of Catherine the Great, The",Dasie Clayal,903998773-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2762,""status"":""Available""},{""copyNumber"":8893,""status"":""Borrowed""},{""copyNumber"":6304,""status"":""Available""}]}]"
Erasing David,Sallie Fairburne,934100237-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1622,""status"":""Available""},{""copyNumber"":8218,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6580,""status"":""Available""},{""copyNumber"":8240,""status"":""Available""},{""copyNumber"":1514,""status"":""Available""},{""copyNumber"":9493,""status"":""Available""},{""copyNumber"":3389,""status"":""Borrowed""}]}]"
Black Pond,Russell De Lasci,433631816-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2444,""status"":""Available""},{""copyNumber"":9461,""status"":""Available""},{""copyNumber"":1755,""status"":""Available""},{""copyNumber"":5447,""status"":""Borrowed""},{""copyNumber"":4199,""status"":""Borrowed""},{""copyNumber"":2191,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2548,""status"":""Available""},{""copyNumber"":8477,""status"":""Available""},{""copyNumber"":5351,""status"":""Borrowed""}]}]"
"Cat and the Canary, The",Saloma Betke,654875165-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2562,""status"":""Available""},{""copyNumber"":5831,""status"":""Borrowed""},{""copyNumber"":5602,""status"":""Available""},{""copyNumber"":7418,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5527,""status"":""Borrowed""},{""copyNumber"":6917,""status"":""Available""},{""copyNumber"":5552,""status"":""Borrowed""},{""copyNumber"":3884,""status"":""Borrowed""},{""copyNumber"":4995,""status"":""Available""}]}]"
Lost in the Desert,Gustaf Coyle,707785204-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5912,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6722,""status"":""Borrowed""},{""copyNumber"":3329,""status"":""Borrowed""}]}]"
"Mother of Tears: The Third Mother (Terza madre, La)",Norton Cusiter,950774916-0,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1319,""status"":""Borrowed""},{""copyNumber"":9296,""status"":""Available""},{""copyNumber"":7336,""status"":""Available""},{""copyNumber"":5120,""status"":""Borrowed""},{""copyNumber"":2614,""status"":""Borrowed""},{""copyNumber"":4569,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8829,""status"":""Borrowed""}]}]"
Goliyon Ki Raasleela Ram-Leela,Ethyl Ferrar,950496610-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4358,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5270,""status"":""Borrowed""}]}]"
Dad,Rory Giacopini,545001666-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4705,""status"":""Borrowed""},{""copyNumber"":9400,""status"":""Available""}]}]"
"Harvey Girls, The",Wendy Crabtree,464643901-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7341,""status"":""Available""},{""copyNumber"":3790,""status"":""Available""},{""copyNumber"":3512,""status"":""Available""},{""copyNumber"":6342,""status"":""Available""}]}]"
Human Trafficking,Gunilla Savidge,461794380-3,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4341,""status"":""Borrowed""},{""copyNumber"":6810,""status"":""Borrowed""},{""copyNumber"":4364,""status"":""Borrowed""},{""copyNumber"":5146,""status"":""Borrowed""},{""copyNumber"":5993,""status"":""Available""}]}]"
"Beyond, The (E tu vivrai nel terrore - L'aldilà)",Fletcher Thies,708200496-6,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7354,""status"":""Available""}]}]"
"Adventurer: The Curse of the Midas Box, The",Pennie Bowes,351809326-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9041,""status"":""Borrowed""},{""copyNumber"":1424,""status"":""Available""},{""copyNumber"":7084,""status"":""Available""},{""copyNumber"":8842,""status"":""Available""},{""copyNumber"":3502,""status"":""Borrowed""},{""copyNumber"":9113,""status"":""Available""}]}]"
Orchestra Wives,Vicky Britland,883125803-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1808,""status"":""Borrowed""},{""copyNumber"":3715,""status"":""Available""},{""copyNumber"":7145,""status"":""Available""},{""copyNumber"":2206,""status"":""Borrowed""},{""copyNumber"":6684,""status"":""Available""}]}]"
Silja - nuorena nukkunut,Dahlia Sedworth,621534796-5,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6750,""status"":""Borrowed""},{""copyNumber"":1747,""status"":""Borrowed""},{""copyNumber"":4219,""status"":""Available""},{""copyNumber"":5272,""status"":""Available""},{""copyNumber"":8124,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2272,""status"":""Borrowed""},{""copyNumber"":3279,""status"":""Borrowed""},{""copyNumber"":8456,""status"":""Borrowed""},{""copyNumber"":8183,""status"":""Borrowed""},{""copyNumber"":7760,""status"":""Available""}]}]"
Arnold,Willyt Ireson,793949580-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4731,""status"":""Available""},{""copyNumber"":7733,""status"":""Available""},{""copyNumber"":5830,""status"":""Borrowed""},{""copyNumber"":1430,""status"":""Available""},{""copyNumber"":2463,""status"":""Available""},{""copyNumber"":2422,""status"":""Borrowed""}]}]"
Look Who's Talking Now,Karla Cribbott,649045319-3,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9662,""status"":""Available""},{""copyNumber"":3816,""status"":""Available""},{""copyNumber"":7419,""status"":""Borrowed""},{""copyNumber"":5362,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9597,""status"":""Borrowed""},{""copyNumber"":3388,""status"":""Available""},{""copyNumber"":6677,""status"":""Borrowed""},{""copyNumber"":3471,""status"":""Borrowed""},{""copyNumber"":5781,""status"":""Available""},{""copyNumber"":6200,""status"":""Borrowed""}]}]"
"American Crime, An",Paige Huyton,769366261-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5442,""status"":""Available""},{""copyNumber"":4707,""status"":""Available""},{""copyNumber"":9546,""status"":""Borrowed""},{""copyNumber"":3220,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8954,""status"":""Borrowed""},{""copyNumber"":6917,""status"":""Available""},{""copyNumber"":1079,""status"":""Available""}]}]"
Who's Your Daddy?,Emlyn Edmons,016735486-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2389,""status"":""Available""},{""copyNumber"":3816,""status"":""Available""},{""copyNumber"":7657,""status"":""Borrowed""},{""copyNumber"":2689,""status"":""Available""},{""copyNumber"":5991,""status"":""Available""},{""copyNumber"":2275,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4720,""status"":""Borrowed""},{""copyNumber"":1971,""status"":""Available""},{""copyNumber"":6940,""status"":""Borrowed""},{""copyNumber"":7628,""status"":""Available""}]}]"
